Budget Item Code,Georgian Name,Budget Item Type,English Translation
49 04 01 02,აჭარის ავტონომიური რესპუბლიკისათვის გადასაცემი ტრანსფერი,Program,Transfer for Autonomous Republic of Adjara
36 02,ენერგეტიკული ინფრასტრუქტურის მშენებლობა რეაბილიტაცია,Program,Construction And Rehabilitation Of Energy Infrastructure
53 09,სოფლის მხარდაჭერის პროგრამა,Program,Rural Support Program
45 06,საქართველოს საპატრიარქოს წმინდა ანდრია პირველწოდებულის სახელობის სასულიერო სწავლების ცენტრისათვის გადასაცემი გრანტი,Program,Grant for St. Andrew First-Called Theological Training Centre
35 03 02 05,პროფესიულ დაავადებათა პრევენცია,Program,Professional Disease Prevention
45 11,საქართველოს საპატრიარქოს ტელევიზიის სუბსიდირების ღონისძიებები,Program,Subsidy Measures for Georgian Patriarchate's TV
38 00,საქართველოს გარემოსა და ბუნებრივი რესურსების დაცვის სამინისტრო,SpendingAgency,Ministry of Environment and Natural Resources Protection of Georgia
32 04 02 02,სამეცნიერო დაწესებულებების პროგრამები,Program,Scientific Institutions
32 03 03,განათლების მართვის საინფორმაციო სისტემა,Program,Education Management Information System
35 03 02 03,ეპიდზედამხედველობის პროგრამა,Program,Epidemic Surveillance Program
18 00,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ბოლნისის გარდაბნის დმანისის თეთრი წყაროს მარნეულის წალკის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ რუსთავში,SpendingAgency,"Administration of the State Representative – Governor in BOLNISI, GARDABANI, DMANISI, TETRITSKARO, MARNEULI, TSALKA Municipalities and the Self-Governing City of RUSTAVI"
32 04 03 01,სამეცნიერო გრანტების გაცემისა და სამეცნიერო კვლევების ხელშეწყობა,Program,STIMULATION OF SCIENTIFIC GRANTS AND STUDIES
35 02 02,სოციალური დახმარებები,Program,Social Security
32 01,განათლებისა და მეცნიერების სფეროში სახელმწიფო პოლიტიკის შემუშავება და პროგრამების მართვა,Program,National Policymaking And Program Management In Education And Science
48 00,ა ა იპ – საზოგადოებრივი ჯანდაცვის ცენტრალური რეფერალური ლაბორატორია,SpendingAgency,NNLP – Central Referral Laboratory of Public Health Care
49 00,სსიპ - საქართველოს ეროვნული საინვესტიციო სააგენტო,SpendingAgency,NNLP Georgian National Investment Agency
